Filename,NP_1protein_02XG_phi025_pH3_Time0_REP1
Instrument name,5333-0043
Operator,Harrison
rundate,1/19/2023
Sample name,NP_1protein_02XG_phi025_pH3_Time0_REP1
Geometry name,40mm parallel plate, Peltier plate Steel  - 104209
Procedure name,Sample
,Creep-recovery
proceduresegments,Creep-recovery
[step]
Creep - 1
Torque,Displacement,Step time,Temperature,Axial force,Gap,Compliance,Strain,Stress
µN.m,rad,s,°C,N,µm,1/MPa,%,MPa
1.25664,2.39249e-4,0.585760,25.01,0.113110,600.066,79740.7,0.797407,1.00000e-7
1.25664,2.37886e-4,0.593952,25.01,0.111984,600.066,79286.7,0.792867,1.00000e-7
1.25664,2.36529e-4,0.602144,25.01,0.107872,600.066,78834.2,0.788342,1.00000e-7
1.25664,2.34964e-4,0.610336,25.01,0.108616,600.066,78312.6,0.783126,1.00000e-7
1.25664,2.33379e-4,0.622624,25.01,0.110626,600.066,77784.4,0.777844,1.00000e-7
1.25664,2.33057e-4,0.639008,25.01,0.114452,600.066,77677.0,0.776770,1.00000e-7
1.25664,2.33131e-4,0.655392,25.01,0.103909,600.066,77701.7,0.777017,1.00000e-7
1.25664,2.34220e-4,0.671776,25.01,0.118404,600.008,78072.5,0.780725,1.00000e-7
1.25664,2.36120e-4,0.688160,25.01,0.109230,600.008,78705.5,0.787055,1.00000e-7
1.25664,2.38344e-4,0.704544,25.01,0.111904,600.008,79446.9,0.794469,1.00000e-7
1.25664,2.42493e-4,0.720928,25.01,0.111843,600.008,80829.8,0.808298,1.00000e-7
1.25664,2.46336e-4,0.737312,25.01,0.109722,600.008,82110.8,0.821108,1.00000e-7
1.25664,2.49834e-4,0.753696,25.01,0.115707,600.008,83276.9,0.832769,1.00000e-7
1.25664,2.53835e-4,0.770080,25.01,0.109245,600.008,84610.7,0.846107,1.00000e-7
1.25664,2.57459e-4,0.786464,25.01,0.113052,600.008,85818.7,0.858187,1.00000e-7
1.25664,2.60654e-4,0.802848,25.01,0.110985,600.008,86883.4,0.868834,1.00000e-7
1.25664,2.62569e-4,0.819232,25.01,0.114883,600.008,87521.9,0.875219,1.00000e-7
1.25664,2.64500e-4,0.835616,25.01,0.112095,600.008,88165.4,0.881654,1.00000e-7
1.25664,2.66225e-4,0.852000,25.01,0.110825,600.008,88740.5,0.887405,1.00000e-7
1.25664,2.67362e-4,0.868384,25.01,0.114803,599.941,89129.2,0.891292,1.00000e-7
1.25664,2.67349e-4,0.884768,25.01,0.110767,599.941,89125.1,0.891250,1.00000e-7
1.25664,2.67540e-4,0.901152,25.01,0.116726,599.941,89188.7,0.891887,1.00000e-7
1.25664,2.67953e-4,0.917536,25.01,0.110615,599.941,89326.4,0.893264,1.00000e-7
1.25664,2.68229e-4,0.933920,25.01,0.109520,599.941,89418.4,0.894184,1.00000e-7
1.25664,2.69214e-4,0.950304,25.01,0.117355,599.941,89746.9,0.897469,1.00000e-7
1.25664,2.68909e-4,0.966688,25.01,0.111118,599.941,89645.1,0.896451,1.00000e-7
1.25664,2.69534e-4,0.983072,25.01,0.116512,599.941,89853.4,0.898534,1.00000e-7
1.25664,2.71609e-4,0.999456,25.01,0.112286,599.941,90545.1,0.905451,1.00000e-7
1.25664,2.72624e-4,1.01584,25.01,0.110271,599.941,90883.6,0.908836,1.00000e-7
1.25664,2.74077e-4,1.03222,25.01,0.117344,599.941,91368.1,0.913681,1.00000e-7
1.25664,2.76021e-4,1.04861,25.01,0.110939,599.941,92015.9,0.920159,1.00000e-7
1.25664,2.77419e-4,1.06499,25.01,0.112320,599.922,92485.1,0.924851,1.00000e-7
1.25664,2.79784e-4,1.08138,25.01,0.113056,599.922,93273.4,0.932734,1.00000e-7
1.25664,2.82079e-4,1.09776,25.01,0.115574,599.922,94038.6,0.940386,1.00000e-7
1.25664,2.83332e-4,1.11414,25.01,0.113827,599.922,94456.4,0.944564,1.00000e-7
1.25664,2.84939e-4,1.13053,25.01,0.112629,599.922,94991.9,0.949919,1.00000e-7
1.25664,2.86610e-4,1.14691,25.01,0.112946,599.922,95549.0,0.955490,1.00000e-7
1.25664,2.88277e-4,1.16330,25.01,0.113297,599.922,96104.9,0.961049,1.00000e-7
1.25664,2.89846e-4,1.17968,25.01,0.117092,599.922,96627.9,0.966279,1.00000e-7
1.25664,2.90611e-4,1.19606,25.01,0.110760,599.922,96882.9,0.968829,1.00000e-7
1.25664,2.91311e-4,1.21245,25.01,0.114105,599.922,97116.3,0.971163,1.00000e-7
1.25664,2.92454e-4,1.22883,25.01,0.113285,599.922,97497.3,0.974972,1.00000e-7
1.25664,2.93621e-4,1.24522,25.01,0.113510,599.922,97886.5,0.978865,1.00000e-7
1.25664,2.94683e-4,1.26160,25.01,0.115208,599.922,98240.4,0.982404,1.00000e-7
